cai_max = 9.751300e-01, cai_max_time = 3.874628e-02
current time 8.000488e-01; cai_current: 1.070300e-01; cai_next: 1.070300e-01; cai_current_2dt 1.070300e-01
current time 8.000183e-01; cai_current: 1.070300e-01; cai_next: 1.070300e-01; cai_current_2dt 1.070300e-01
current time 8.000488e-01; cai_current: 1.070300e-01; cai_next: 1.070300e-01; cai_current_2dt 1.070300e-01
current time 8.000793e-01; cai_current: 1.070300e-01; cai_next: 1.070300e-01; cai_current_2dt 1.070300e-01
current time 8.001099e-01; cai_current: 1.070300e-01; cai_next: 1.070300e-01; cai_current_2dt 1.070300e-01
current time 8.001404e-01; cai_current: 1.070300e-01; cai_next: 1.070300e-01; cai_current_2dt 1.070300e-01
current time 8.001709e-01; cai_current: 1.070300e-01; cai_next: 1.070300e-01; cai_current_2dt 1.070300e-01
current time 8.002014e-01; cai_current: 1.070300e-01; cai_next: 1.070300e-01; cai_current_2dt 1.070300e-01
current time 8.002319e-01; cai_current: 1.070300e-01; cai_next: 1.070300e-01; cai_current_2dt 1.070300e-01
current time 8.002625e-01; cai_current: 1.070300e-01; cai_next: 1.070300e-01; cai_current_2dt 1.070300e-01
current time 8.002930e-01; cai_current: 1.070300e-01; cai_next: 1.070300e-01; cai_current_2dt 1.070300e-01
current time 8.003235e-01; cai_current: 1.070300e-01; cai_next: 1.070300e-01; cai_current_2dt 1.070300e-01
current time 8.003540e-01; cai_current: 1.070300e-01; cai_next: 1.070300e-01; cai_current_2dt 1.070300e-01
current time 8.003845e-01; cai_current: 1.070300e-01; cai_next: 1.070300e-01; cai_current_2dt 1.070300e-01
current time 8.004150e-01; cai_current: 1.070300e-01; cai_next: 1.070300e-01; cai_current_2dt 1.070300e-01
current time 8.004456e-01; cai_current: 1.070300e-01; cai_next: 1.070300e-01; cai_current_2dt 1.070300e-01
current time 8.004761e-01; cai_current: 1.070300e-01; cai_next: 1.070300e-01; cai_current_2dt 1.070300e-01
current time 8.005066e-01; cai_current: 1.070300e-01; cai_next: 1.070300e-01; cai_current_2dt 1.070300e-01
current time 8.005371e-01; cai_current: 1.070300e-01; cai_next: 1.070300e-01; cai_current_2dt 1.070300e-01
current time 8.005676e-01; cai_current: 1.070300e-01; cai_next: 1.070300e-01; cai_current_2dt 1.070300e-01
current time 8.005981e-01; cai_current: 1.070300e-01; cai_next: 1.070300e-01; cai_current_2dt 1.070300e-01
current time 8.006287e-01; cai_current: 1.070300e-01; cai_next: 1.070300e-01; cai_current_2dt 1.070300e-01
current time 8.006592e-01; cai_current: 1.070300e-01; cai_next: 1.070300e-01; cai_current_2dt 1.070300e-01
current time 8.006897e-01; cai_current: 1.070300e-01; cai_next: 1.070300e-01; cai_current_2dt 1.070300e-01
current time 8.007202e-01; cai_current: 1.070300e-01; cai_next: 1.070300e-01; cai_current_2dt 1.070300e-01
current time 8.007507e-01; cai_current: 1.070300e-01; cai_next: 1.070300e-01; cai_current_2dt 1.070300e-01
current time 8.007812e-01; cai_current: 1.070300e-01; cai_next: 1.070300e-01; cai_current_2dt 1.070300e-01
current time 8.008118e-01; cai_current: 1.070300e-01; cai_next: 1.070300e-01; cai_current_2dt 1.070300e-01
current time 8.008423e-01; cai_current: 1.070300e-01; cai_next: 1.070300e-01; cai_current_2dt 1.070300e-01
current time 8.008728e-01; cai_current: 1.070300e-01; cai_next: 1.070300e-01; cai_current_2dt 1.070300e-01
current time 8.009033e-01; cai_current: 1.070300e-01; cai_next: 1.070300e-01; cai_current_2dt 1.070300e-01
current time 8.009338e-01; cai_current: 1.070300e-01; cai_next: 1.070300e-01; cai_current_2dt 1.070300e-01
current time 8.009644e-01; cai_current: 1.070300e-01; cai_next: 1.070300e-01; cai_current_2dt 1.070300e-01
